state_name,state_code,district_name,district_code,subdistrict_name,subdistrict_code,cluster_name,village_name,udise_village_code,pincode,ward,school_name,udise_school_code,school_category,school_type,management,year_of_establishment,longitude,latitude,status,location_type,class_from,class_to,aff_board_sec,aff_board_h_sec,pre_primary,class_rooms,other_rooms,total_teachers,pre_primary_students,i_students,ii_students,iii_students,iv_students,v_students,vi_students,vii_students,viii_students,ix_students,x_students,xi_students,xii_students,class_students,class_with_pre_primary_students
"Andhra Pradesh","28","Nellore","None","Vidavalur","None","Zphs Vavilla","Vavilla","281916004","","","SRI SARASWATHI VIDHYA NIKETHAN    EM  SCHOOL","28191600407","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","2001","80.0809","14.6042","Operational","Rural","1.0","7.0","","","0.0","7.0","0.0","6.0","0.0","12.0","41.0","26.0","20.0","24.0","14.0","8.0","0.0","0.0","0.0","0.0","0.0","145.0","145.0"
"Uttar Pradesh","09","Auraiya","122","Bhagyanagar","0862","Khanpur","Binpurapur","93206001","206244","","S.P. SHIVANAD INTER COLLEGE BHAGYANAGAR","9320600112","Secondary with Higher Secondary","Co. Educational","Private Unaided (Recognized)","2004","79.553144","26.640652","Operational","Rural","9.0","12.0","State Board","State Board","0.0","20.0","4.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","274.0","318.0","454.0","492.0","1538.0","1538.0"
"Karnataka","29","Tumakuru","548","Gubbi","5906","Mara Shettyhalli","Bennur","291802087","","","GLPS BENNUR","29180208701","Primary","Co. Educational","Department of Education","1959","76.815","13.274","Operational","Rural","1.0","5.0","","","0.0","2.0","0.0","2.0","0.0","3.0","2.0","2.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","12.0"
"West Bengal","19","Hooghly","312","Arambagh","2887","Arambagh-East","Maloypur-Ii/X","191208045","","","KESHABPUR HIGH SCHOOL","19120804502","Upper Pri. Secondary and Higher Sec","Co. Educational","Department of Education","1929","87.90671","22.88251","Operational","Rural","5.0","12.0","State Board","State Board","1.0","14.0","10.0","11.0","0.0","0.0","0.0","0.0","0.0","117.0","100.0","53.0","134.0","109.0","81.0","46.0","26.0","666.0","666.0"
"Madhya Pradesh","23","Indore","410","","None","Hss Kasturba Kanya","Ward No.57","232601057","452004","WARD NO.57","NAVEEN URDU GIRLS MS MOTI TABELA","23260105701","Primary with Upper Primary","Co. Educational","Department of Education","1925","75.85552","22.711939","Operational","Urban","1.0","8.0","","","0.0","9.0","0.0","3.0","0.0","13.0","17.0","18.0","13.0","15.0","12.0","5.0","10.0","0.0","0.0","0.0","0.0","103.0","103.0"
"West Bengal","19","24 Paraganas South","304","Kultali","2763","Merigunge J High Madrasah","Merigunj -1 -X","191819116","","","KACHIAMARA J B","19181911601","Primary","Co. Educational","Department of Education","1955","88.59978","22.18755","Operational","Rural","1.0","4.0","","","0.0","8.0","1.0","7.0","89.0","107.0","81.0","110.0","89.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","387.0","476.0"
"Chhattisgarh","22","Rajnandgaon","388","Rajnandgaon","3716","Mohandi","Vijaytala","220911142","","","GOVT. PRIMARY SCHOOL VIJAYTALA","22091114201","Primary","Co. Educational","Department of Education","1906","81.1636","21.3506","Operational","Rural","1.0","5.0","","","0.0","6.0","0.0","7.0","0.0","42.0","29.0","37.0","38.0","37.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","183.0","183.0"
"Karnataka","29","Koppal","543","Koppal","5876","Irakalagada","Hanumanahalli","290703065","","","GHPS  HANUMANAHALLI","29070306501","Primary with Upper Primary","Co. Educational","Department of Education","1961","76.355833","15.357013","Operational","Rural","1.0","7.0","","","0.0","5.0","0.0","7.0","0.0","30.0","25.0","31.0","33.0","31.0","25.0","23.0","0.0","0.0","0.0","0.0","0.0","198.0","198.0"
"Andhra Pradesh","28","Chittoor","503","Chittoor","4755","Mchs Greamspet","Chittoor(M)","282354902","","CHITTOOR(M)","DURGA PUBLIC SCHOOL","28235490286","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","1995","79.0873","13.196","Operational","Urban","1.0","7.0","","","0.0","10.0","0.0","9.0","0.0","28.0","25.0","24.0","31.0","23.0","15.0","18.0","0.0","0.0","0.0","0.0","0.0","164.0","164.0"
"Madhya Pradesh","23","Balaghat","392","","None","Khamariya Hss New Jsk","Katang Jhari [Marari Tola]","234506007","481331","","GOVT. HSS KATANGJHARI 13-14","23450600704","Upper Pri. Secondary and Higher Sec","Co. Educational","Department of Education","2006","79.965406","21.839343","Operational","Rural","6.0","12.0","State Board","State Board","0.0","8.0","7.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","36.0","34.0","25.0","69.0","65.0","54.0","59.0","342.0","342.0"
